model,dataType,rmse,rmsd,msd,sdev,rpd,rpiq,r2,bias,SB,NU,LC,SB_prop,NU_prop,LC_prop,n,b,ncomp,response,min_obs,median_obs,max_obs,mean_obs,CV
final_model,Cross-validation,1.569881009026423,1.5615082506123765,2.438308016730524,5.747934783440388,3.6613824553524763,4.903078612801058,0.9254941255702255,-0.021352486359973,4.55928673752833e-4,0.0024578456159534256,2.4353942424408195,0,0,100,94,0.9910668620129311,6,C,2.404,8.4855,24.687,9.931269503478724,57.87714029336332
pls,Calibration,1.0403813639856103,1.0348326238141945,1.07087855931017,5.747934783440388,5.52483443323182,7.398488925745945,0.9672386745114676,0,0,2.494094161307246e-29,1.070878559310171,0,0,100,94,1.0000000000000009,6,C,2.404,8.4855,24.687,9.931269503478724,57.87714029336332
final_model,Cross-validation,0.1654421542038369,0.16455978975666954,0.02707992440475928,0.4941872007732083,2.987069427084063,4.195323353894669,0.8884092848457703,0.0018609763705430549,3.4632330517196014e-6,1.1358965760270285e-4,0.026962871514104866,0,0,100,94,0.9775137676933665,5,N,0.181,0.724,2.481,0.8143014184361702,60.68848580937916
pls,Calibration,0.118678155806602,0.11804520112922202,0.01393466950963848,0.4941872007732083,4.164095721023304,5.848450614459148,0.9423288526518788,-1.1102230246251565e-16,1.232595164407831e-32,1.8971764525501633e-30,0.013934669509638514,0,0,100,94,0.9999999999999971,5,N,0.181,0.724,2.481,0.8143014184361702,60.68848580937916
final_model,Cross-validation,20.248919891568683,20.140924882123585,405.656855107345,51.760359375478835,2.556203474192764,4.020790595423342,0.8474567168244914,-9.161475080645687e-4,8.393262565329189e-7,1.320537726046969,404.33631654197194,0,0,100,94,0.9763278613539629,3,S,41,99,242,111.31914893510638,46.497264729945606
pls,Calibration,16.97106886144854,16.880555848813792,284.95316576492155,51.760359375478835,3.0499174682543186,4.797380019619506,0.8924961976485634,0,0,4.198933409125396e-27,284.9531657649216,0,0,100,94,1.0000000000000013,3,S,41,99,242,111.31914893510638,46.497264729945606
final_model,Cross-validation,143.26067860353345,142.49661620308208,20305.285629328475,211.63772040989625,1.47729106460254,1.3168302833611387,0.5472405662689185,5.310813967695822,28.204744999473036,213.48586535352297,20063.59501897548,0,1,99,94,0.9142219005427551,3,P_tot,240.1,467.29999999999995,1631,530.2117021276596,39.915701513306104
pls,Calibration,121.79916216733862,121.14956200401615,14677.216373764953,211.63772040989625,1.7375958639118498,1.5488612289534116,0.6687907542068345,0,0,9.351729373244121e-26,14677.216373764959,0,0,100,94,1.0000000000000018,3,P_tot,240.1,467.29999999999995,1631,530.2117021276596,39.915701513306104
final_model,Cross-validation,0.6306020338307265,0.6271654849010003,0.3933365454511069,0.8113854316698494,1.28668381663934,1.8387626923444471,0.40040480790824523,0.008083308206670026,6.533987156401899e-5,0.002820584307906787,0.39045062127163616,0,1,99,92,0.9057907013528972,2,log(P_resin),-0.2113523008947434,1.3700008487615207,3.500410751071177,1.413881739757327,57.3870790501271
pls,Calibration,0.5801656074430772,0.5770039184691124,0.33293352192871,0.8113854316698494,1.398541073894075,1.9986146690679825,0.4887308966637546,0,0,2.5106039352881302e-31,0.33293352192871006,0,0,100,92,1.0000000000000009,2,log(P_resin),-0.2113523008947434,1.3700008487615207,3.500410751071177,1.413881739757327,57.3870790501271
final_model,Cross-validation,0.4623085806200912,0.4597891690535252,0.21140607997893118,1.1091809235736358,2.399222013326898,3.306378169271289,0.826833820691651,-0.025912014601531475,6.714325007099803e-4,7.0463663118071575e-6,0.21072760111190939,0,0,100,92,1.0026533535898248,9,log(Fe_DTPA),1.0224509277025455,2.667922169219379,6.697034247666484,2.9207073224249758,37.97644889158959
pls,Calibration,0.2108303827640003,0.2096814347946446,0.0439663040975408,1.1091809235736358,5.2610108136797,7.2502216160187665,0.9638705283090234,0,0,2.798999766598553e-29,0.043966304097540716,0,0,100,92,1.0000000000000049,9,log(Fe_DTPA),1.0224509277025455,2.667922169219379,6.697034247666484,2.9207073224249758,37.97644889158959
final_model,Cross-validation,2.128299875963395,2.116032915715945,4.477595300393323,2.45751895056407,1.1546864134696484,1.022412313497417,0.27441133720375954,-0.03083382584608918,9.507248163069572e-4,0.14489403865625194,4.331750536920764,0,3,97,87,0.770773617797144,3,Zn_DTPA,0.21,1.886,11.473333330000001,2.765789272,88.85416453969346
pls,Calibration,1.7192580173997558,1.7093486667519735,2.9218728645267493,2.45751895056407,1.4294067124845382,1.2656622670813722,0.5105725026031515,0,0,0,2.9218728645267493,0,0,100,87,1,3,Zn_DTPA,0.21,1.886,11.473333330000001,2.765789272,88.85416453969346
final_model,Cross-validation,0.18658978708431675,0.18557294143729722,0.034437316593690544,0.3622115149323052,1.9412183302863621,2.1959937178385918,0.7362267672974265,-0.00396623124650991,1.5730990300791555e-5,1.9143639045352524e-4,0.03423014921293625,0,1,99,92,0.9571550437278494,6,Cu_DTPA,0.0938,0.243,1.496,0.4091485507282609,88.52811876947615
pls,Calibration,0.10862549112668392,0.10803352219026183,0.011671241916833795,0.3622115149323052,3.3344982947867905,3.772134846066023,0.9100628749554622,-1.1102230246251565e-16,1.232595164407831e-32,4.089042903491685e-30,0.011671241916833809,0,0,100,92,0.9999999999999941,6,Cu_DTPA,0.0938,0.243,1.496,0.4091485507282609,88.52811876947615
final_model,Cross-validation,3.993651729962418,3.971887798287587,15.775892682185816,5.939846926343301,1.4873222123450403,1.345886011960933,0.5521372135029681,-0.028731562483748974,8.255026827575715e-4,0.14542451556441585,15.629642663938643,0,1,99,92,0.9200692676229933,3,Mn_DTPA,2.52,6.539999999999999,31.4,8.640543478228262,68.7439041457293
pls,Calibration,3.4026877824034885,3.3841443866808705,11.452433229903644,5.939846926343301,1.7456338360105699,1.5796336142845786,0.6718339140055988,0,0,7.398205988045541e-29,11.452433229903647,0,0,100,92,1.0000000000000018,3,Mn_DTPA,2.52,6.539999999999999,31.4,8.640543478228262,68.7439041457293
