model,dataType,n,min,max,mean,median,sdev,cv,skewness_b1,kurtosis,rmse,mse,me,bias,msv,sde,mae,r2,b,rpd,rpiq,SB,NU,LC,SB_prop,NU_prop,LC_prop,ncomp,response,min_obs,median_obs,max_obs,mean_obs,CV
pls_clay,Cross-validation,80,1,26.1,11.64475,10.14,4.924701102540853,0.42291170721061877,1.0398242555799004,0.334913769412458,2.2304726959250525,4.9750084472671725,0.03304127831869792,0.03304127831869792,4.9739167211942394,2.230227952742553,1.6223548824979641,0.7923769084159128,0.9913558373539547,2.207918129434179,2.7124295271818424,0.0010917260729336575,0.001442830758024207,4.9724738904362145,0,0,100,2,clay,4.54,10.14,26.1,11.64475,42.291170721061874
pls_pH,Cross-validation,80,1,8.389,6.415941666666667,6.4355,0.7277044340868016,0.11342129836801845,0.12780512882418082,-0.10562779332583272,0.4575775854060416,0.20937724666602328,0.004546794836397627,0.004546794836397627,0.209356573322739,0.4575549948615346,0.3619770878055339,0.6029159824768718,1.0794428858840823,1.5903410859626286,1.9619623614285275,2.0673343284292126e-5,0.0017077120021824703,0.20764886132055657,0,1,99,8,pH,4.705,6.4355,8.389,6.415941666666667,11.342129836801845
pls_exch_K,Cross-validation,94,0,868,145.17801418439717,104,138.5650107766957,0.9544490021794759,2.3716919834475703,7.1780460942061755,117.66785138388845,13845.723249300858,-1.8855962462329665,-1.8855962462329665,13842.167776097049,117.65274232289296,67.09591371796563,0.3025645574318884,0.7567770867856065,1.1775944673675631,0.7829241285238095,3.5554732038078543,593.6812475567239,13248.486528540321,0,4,96,1,ex_K,0,104,868,145.17801418439717,95.44490021794759
pls_exch_Ca,Cross-validation,92,1,2170,774.0076086956522,603.5,539.3051833460925,0.6967698731733694,1.2808451114564727,0.6206069240061427,241.7040111448833,58420.829003525876,-4.618122765558139,-4.618122765558139,58399.50194564811,241.65988898790818,181.71502312755638,0.7983675083658187,1.0430994764780586,2.2312628606846734,2.0162401568140043,21.327057877766357,392.1192312669414,58007.38271438116,0,1,99,5,ex_Ca,97.7,603.5,2170,774.0076086956522,69.67698731733694
pls_exch_Mg,Cross-validation,93,1,432,112.5853046594982,76.3,94.20551968278973,0.8367479216555295,1.419233133226731,1.1966215365713406,58.21795470187527,3389.330249669601,1.3267844856009974,1.3267844856009974,3387.5698925983693,58.20283405984944,41.26139892096901,0.6193781805046292,0.9157760381099215,1.6181523408921004,1.8568154885131676,1.7603570712315033,45.994538133783976,3341.5753544645854,0,1,99,3,ex_Mg,17.5,76.3,432,112.5853046594982,83.67479216555294
pls_exch_Al,Cross-validation,94,0,46.8,3.8053191489361704,0,9.830686398128009,2.5834065457758815,3.0577979991064397,8.873581120882402,8.892100872391815,79.06945792479128,0.08563281629382515,0.08563281629382515,79.06212494556486,8.891688531744961,5.938255449427505,0.21142939386446652,0.7014093471969414,1.1055527303621029,0,0.007332979226412005,3.663510683781856,75.398614261783,0,5,95,2,ex_Al,0,0,46.8,3.8053191489361704,258.34065457758817
pls_CEC,Cross-validation,91,0.8728928010706658,14.586521118821311,5.312948773338124,4.172209331518361,3.5595087018252016,0.669968571819819,1.2425102123740859,0.49429597543101744,1.434042295980799,2.0564773066618818,0.004025011798178718,0.004025011798178718,2.0564611059419065,1.4340366473496786,1.1216737004722581,0.8371487324405154,1.040367037228447,2.482150430152209,2.2534611167161875,1.6200719975477875e-5,0.015792992973343814,2.0406681129685635,0,1,99,6,CEC_eff,0.8728928010706658,4.172209331518361,14.586521118821311,5.312948773338124,66.9968571819819
pls_BS,Cross-validation,91,1,99.99973548411666,98.38123455918449,99.98633136429247,3.8875112599140014,0.039514763941850516,-2.826721602056051,7.975580402667765,3.4146898313952723,11.660106644634274,0.008148027413863406,0.008148027413863406,11.660040254283537,3.414680110095752,2.421054724430935,0.2505115336427442,0.7409491367859811,1.1384668745522724,0.012180124794707668,6.639035073706958e-5,0.45768371244340034,11.202356541840137,0,4,96,1,BS_eff,79.35978384403238,99.98633136429247,99.99973548411666,98.38123455918449,3.9514763941850517
pls_C,Cross-validation,94,1,24.687,9.9312695035461,8.485499999999998,5.74793478350719,0.5787714029364331,0.8843379878981041,-0.1281818429845898,1.6279167497550096,2.650112944132914,0.025713404481245355,0.025713404481245355,2.649451764962898,1.627713661846855,1.2086887291409663,0.9195072742595934,1.0253444161082235,3.530853026957438,4.7282823284166,6.611791700161287e-4,0.018363648335531155,2.631088116627368,0,1,99,6,C,2.404,8.485499999999998,24.687,9.9312695035461,57.877140293643315
pls_N,Cross-validation,94,0.18100000000000002,2.481,0.8143014184397163,0.724,0.494187200777744,0.6068848580967188,0.9844295595060077,0.5409532508371897,0.16369676353219015,0.026796630390913782,0.0012179393518352273,0.0012179393518352273,0.026795147014649037,0.1636922326032883,0.11047594455460463,0.8893222623075212,1.0159360102429016,3.0189185791725475,4.240055321538751,1.4833762647488137e-6,5.287175631384217e-5,0.026742275258335172,0,0,100,5,N,0.18100000000000002,0.724,2.481,0.8143014184397163,60.688485809671874
pls_S,Cross-validation,94,1,242,111.31914893617021,99,51.760359374845756,0.4649726472893254,0.6802515350446396,-0.4823435649170724,19.831538701803126,393.28992728111524,0.4334432725374731,0.4334432725374731,393.10205421060726,19.826801411488624,14.729337273984992,0.8520168965334398,0.9809347841288618,2.61000218657464,4.1054134977062615,0.1878730705079942,0.8531021816167886,392.2489520289906,0,0,100,3,S,41,99,242,111.31914893617021,46.49726472893254
pls_P,Cross-validation,94,1,1631,530.2117021276596,467.3,211.63772040989625,0.399157015133061,2.6862863106822417,9.696596760131088,131.8786754633176,17391.985041959044,-2.0310544530063552,-2.0310544530063552,17387.85985976797,131.86303447049886,84.53090386791615,0.607803312581311,0.9830117929364738,1.6047910677474453,1.4304814583345848,4.125182191076945,8.044183025946198,17379.815676742022,0,0,100,3,P_tot,240.1,467.3,1631,530.2117021276596,39.915701513306104
pls_resin_P_log,Cross-validation,92,-0.2113523010533358,3.500410751174215,1.4138817397570684,1.3700008487849966,0.8113854316940473,0.5738707905184903,0.34736926927442874,-0.5927815123469133,0.6128424402765282,0.37557585660409004,-0.004786151264312302,-0.004786151264312302,0.37555294936016514,0.6128237506495364,0.47975712549361127,0.4333339444735697,0.8678282358633023,1.3239706951886883,1.8920482935865741,2.2907243924878244e-5,0.006545465035339352,0.3690074843248258,0,2,98,2,log(P_resin),-0.2113523010533358,1.3700008487849966,3.500410751174215,1.4138817397570684,57.387079051849035
pls_Fe_DTPA_log,Cross-validation,92,1,6.697034247666484,2.920707322429448,2.667922169219379,1.1091809235789152,0.379764488917122,0.8583795498591386,0.4636382641607577,0.5490534656027638,0.30145970809040534,0.013387529498983709,0.013387529498983709,0.30128048214431924,0.548890227772657,0.43378393876718585,0.7605310927660299,1.1151518149999433,2.02016924228177,2.7840039161777597,1.79225946086159e-4,0.009868449122971143,0.291412033021348,0,3,97,9,log(Fe_DTPA),1.0224509277025455,2.667922169219379,6.697034247666484,2.920707322429448,37.9764488917122
pls_Zn_DTPA,Cross-validation,87,0.21,11.473333333333333,2.765789272030651,1.886,2.45751895070249,0.8885416454371348,1.8205690230269245,2.8947027885836336,2.1398428274938306,4.578927326376791,0.04197713234831635,0.04197713234831635,4.577165246736602,2.139431056785098,1.4858572888838981,0.2630389718565792,0.7483771969910247,1.1484576900354497,1.0168971160131965,0.0017620796401880668,0.17752190417513403,4.399643342561468,0,4,96,3,Zn_DTPA,0.21,1.886,11.473333333333333,2.765789272030651,88.85416454371348
pls_Cu_DTPA,Cross-validation,92,0.0938,1.496,0.4091485507246377,0.243,0.36221151493091447,0.885281187699202,1.4166163897580781,1.2069480184682666,0.18898915063082855,0.035716899056162,0.005802137964131983,0.005802137964131983,0.035683234251207174,0.1889000641905851,0.13147201241181508,0.7253992081948261,1.0230978757371627,1.9165730610560736,2.1681138765494836,3.366480495482164e-5,4.7980510323491796e-5,0.035635253740883686,0,0,100,6,Cu_DTPA,0.0938,0.243,1.496,0.4091485507246377,88.52811876992021
pls_Mn_DTPA,Cross-validation,92,1,31.4,8.64054347826087,6.539999999999999,5.9398469263498175,0.6874390414554529,1.768535374838608,2.7489746292519737,4.021307627211087,16.17091503266606,-0.01707918190505258,-0.01707918190505258,16.170623334211513,4.021271357942847,2.8837068558333767,0.5468476222593182,0.8797749685274694,1.4770933927453103,1.3366298971083057,2.916984545458755e-4,0.3563830133906656,15.814240320820852,0,2,98,3,Mn_DTPA,2.52,6.539999999999999,31.4,8.64054347826087,68.74390414554529
